Label,Sentences
1,these tiktoks radiate gay chaotic energy and i love it
1,@Champions Again He got killed for using false money
1,It's not that all lives don't matter
1,Is it really that difficult to understand? Black lives matter and all lives matter are not mutually exclusive. They are both true as general statements. So are white lives matter and asian lives matter. Black lives matter in this context is simply the name of a movement against the strangely high rate of police violence on black people and the statement is referring to those who behave like and treat black people as if they dont matter. For example
1,Whenever we say black isn't that racists?  Why don't just say Americans.
1,Ros The Boss u don’t know that she’s actually lgbtq tho so....
1,That was funny at the end when Larry said 'What are we arguing about then'. haha but that said
1,She saves lives with her music.
1,There were a lot of Samoans in my Army unit
0,Network Engineer here- 23 and currently working as an instructor teaching men and women looking to be in IT =] Next I want to teach at a University!
1,There is justice for the natives the government literally pays us
1,she’s in the closet.
1,Injustice is the way the world works. A millionaire paying someone a few dollars to wash his car is injustice
1,@Trey Gray The Prime Minister of Holland
1,Madonna wouldn't be here if her mother had her attitude .
1,@Tea Just Tea all lives are equal is the same thing as all lives matter
1,the tech industry is tough for everyone.  Most people are pushed hard and treated like garbage
1,Why does BLM only come around every 4 years
1,Funny thing is
0,I'm still hiding my gender to my parents and they don't know I'm dating someone. My friends knows already about my gender and they are very supportive of it. And I'm very thankful to find true friends like them
0,all lives matter .without that we never have peace so to me forever all lives matter.
1,Clark thank you. I salute you.
1,@J Brown It makes it seem like my opinion doesn't matter when someone gets attacked for holding a All Lives Matter sign.
1,Yall talking lesbian but I think it more likely that's she'll come out as trans
1,France France I think you’re the one being dumb.  It’s actually very simple. Did you not know all lives include black lives? If you have a basic understanding of the English language you should understand that.
1,@Fa1con i love how people like you read a comment that goes against your agenda and spat instantly zero evidence when all you need to do is type we are trained marxists blm and boom there you go
0,Randomgirlwhosings0804 Why does she feel the need to have to agree or not agree with someone’s sexuality? Why does any Christian? it’s really weird. there is nothing for you to “agree” with
1,the people who would normally be saying whu are all the disney princesses setting unrealistic standards for young girls are now saying that having a fat guy who happens to have darkish skin is racest... the rock is the voice actor for the character and he seems to be fine with it. Next lets say big hero six is racest because it is slightly japanese and hero is fat sometimes. its not like mr incredible who is white and sorta chubby got this kinda shit.
1,Excatly!!! Do you know that in South Korea in almost every school there they teach Americans as racist
1,The big ones stop ruling when the small ones stop crawling.nn2020 The year of the modern revolution
1,i think at that time
1,About performing at Eurovision in Tel Aviv
1,Is it wrong I laughed when he said beaten with the Bible
1,All I’m gunna say is I was Presbyterian and “didn’t agree with homosexuality” before I came out ‍
1,Thank you Madonna for EVERYTHING! You’ve helped me grow up as a kid in West Philadelphia! You inspired me greatly! Much respect and love Queen of Pop! #MadameX
